City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
168,Moree,AU,2021-08-06 17:39:S,-29.4667,149.85,37.42,93,0,3.44
169,Chippewa Falls,US,2021-08-06 17:39:S,44.9369,-91.3929,79.41,78,90,0.0
170,Margate,GB,2021-08-06 17:35:S,51.3813,1.3862,69.69,63,22,4.0
171,Ancud,CL,2021-08-06 17:39:S,-41.8697,-73.8203,54.43,74,100,12.66
172,Oktyabrskiy,RU,2021-08-06 17:39:S,54.4815,53.471,61.66,47,72,5.39
173,Nemuro,JP,2021-08-06 17:39:S,43.3236,145.575,67.64,99,68,6.64
174,Saint George,US,2021-08-06 17:39:S,37.1041,-113.5841,100.87,17,1,1.99
175,Hami,CN,2021-08-06 17:39:S,42.8,93.45,82.72,18,67,9.19
176,Maun,BW,2021-08-06 17:39:S,-19.9833,23.4167,71.56,26,0,3.44
177,Dunedin,NZ,2021-08-06 17:39:S,-45.8742,170.5036,46.8,67,99,13.0
178,Ilulissat,GL,2021-08-06 17:39:S,69.2167,-51.1,44.62,76,75,4.61
179,Thompson,CA,2021-08-06 17:39:S,55.7435,-97.8558,66.36,48,90,5.75
180,Peniche,PT,2021-08-06 17:39:S,39.3558,-9.3811,76.48,76,42,10.04
181,Bunia,CD,2021-08-06 17:39:S,1.5667,30.25,67.37,78,55,1.68
182,Askiz,RU,2021-08-06 17:39:S,53.1319,90.5264,60.48,80,100,8.01
183,Sotnikovo,RU,2021-08-06 17:39:S,51.8845,107.4791,60.89,94,40,0.0
184,Tadine,NC,2021-08-06 17:39:S,-21.55,167.8833,65.5,76,46,8.84
185,Sangmelima,CM,2021-08-06 17:39:S,2.9333,11.9833,68.54,97,91,3.22
186,Yuanping,CN,2021-08-06 17:39:S,38.7153,112.7575,67.6,77,97,0.58
187,Kudahuvadhoo,MV,2021-08-06 17:39:S,2.6708,72.8944,81.07,80,100,12.77
188,Butaritari,KI,2021-08-06 17:39:S,3.0707,172.7902,83.79,65,43,12.03
189,Kaitangata,NZ,2021-08-06 17:39:S,-46.2817,169.8464,45.93,68,98,9.06
190,Atasu,KZ,2021-08-06 17:39:S,48.6814,71.6433,76.51,30,9,8.28
191,Puerto Ayora,EC,2021-08-06 17:39:S,-0.7393,-90.3518,76.96,93,84,10.0
192,Jiuquan,CN,2021-08-06 17:39:S,39.7432,98.5174,78.15,21,64,4.07
193,Saldanha,ZA,2021-08-06 17:39:S,-33.0117,17.9442,55.45,84,1,7.52
194,Zyryanka,RU,2021-08-06 17:39:S,65.75,150.85,45.01,88,58,6.78
195,Moussoro,TD,2021-08-06 17:39:S,13.6408,16.4901,86.49,55,97,11.97
196,Port Hedland,AU,2021-08-06 17:39:S,-20.3167,118.5667,64.45,24,14,10.36
197,Paso De Patria,AR,2021-08-06 17:39:S,-27.2454,-58.5454,85.06,31,1,10.74
198,Nishihara,JP,2021-08-06 17:39:S,26.1842,127.7558,82.06,97,75,16.11
199,East London,ZA,2021-08-06 17:37:S,-33.0153,27.9116,59.94,88,20,6.91
200,Guerrero Negro,MX,2021-08-06 17:39:S,27.9769,-114.0611,82.27,54,26,2.84
201,Tonekabon,IR,2021-08-06 17:39:S,36.8163,50.8738,80.55,66,16,2.17
202,Xixiang,CN,2021-08-06 17:39:S,35.1628,112.865,76.17,80,97,3.31
203,Mehamn,NO,2021-08-06 17:39:S,71.0357,27.8492,60.75,67,0,2.3
204,Ambovombe,MG,2021-08-06 17:39:S,-25.1667,46.0833,67.12,75,0,5.35
205,Lagoa,PT,2021-08-06 17:39:S,39.05,-27.9833,70.77,64,57,17.2
206,Severobaykalsk,RU,2021-08-06 17:39:S,55.65,109.3167,51.55,90,36,3.94
207,Roblin,CA,2021-08-06 17:39:S,51.23,-101.3565,81.72,32,86,7.78
208,Pandan,PH,2021-08-06 17:39:S,14.0453,124.1694,82.11,80,100,10.4
209,Bani Walid,LY,2021-08-06 17:39:S,31.7566,13.9942,90.03,34,0,16.44
