City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Ust-Maya,RU,60.4167,134.5333,71.69,38,0,10.94,clear sky
293,Saint-Augustin,CA,51.226,-58.6502,60.53,95,39,11.45,scattered clouds
294,Erenhot,CN,43.6475,111.9767,91.89,12,57,11.56,broken clouds
295,Chumikan,RU,54.7183,135.315,52.81,91,100,18.03,overcast clouds
296,Tilichiki,RU,60.4667,166.1,53.35,74,100,2.01,overcast clouds
297,Koubia,GN,11.5833,-11.9,66.61,92,77,1.68,broken clouds
298,Kalaleh,IR,37.3807,55.4916,96.4,36,0,4.61,clear sky
299,Yarmouth,US,41.7057,-70.2286,71.01,94,1,5.99,clear sky
300,Camacha,PT,33.0833,-16.3333,70.56,94,75,10.36,light intensity drizzle
301,Saint Anthony,US,45.0205,-93.218,73.29,80,40,1.01,scattered clouds
302,Mezen,RU,65.8522,44.24,63.99,44,79,2.91,broken clouds
303,Strezhevoy,RU,60.7333,77.5889,67.98,47,4,6.67,clear sky
304,Stryn,NO,61.9045,6.7226,70.88,47,100,5.19,overcast clouds
305,Alice Springs,AU,-23.7,133.8833,67.55,19,0,14.97,clear sky
306,Dafeng,CN,23.4517,108.5881,94.42,60,100,5.28,overcast clouds
307,Saint Paul,US,44.9444,-93.0933,73.92,83,1,1.01,clear sky
308,Zhuhai,CN,22.2769,113.5678,90.79,70,20,9.22,light rain
309,Chardara,KZ,41.2547,67.9692,94.77,20,0,2.33,clear sky
310,Yerofey Pavlovich,RU,53.9667,121.9667,66.63,80,100,6.55,overcast clouds
311,San Policarpo,PH,12.1791,125.5072,86.97,66,95,6.08,overcast clouds
312,Artigas,UY,-30.4,-56.4667,57.61,82,3,7.78,clear sky
313,Kruisfontein,ZA,-34.0033,24.7314,55.89,68,54,3.8,broken clouds
314,Wenchi,GH,7.7392,-2.1046,71.35,93,100,7.67,overcast clouds
315,Bud,US,39.447,-86.1758,70.92,86,98,6.31,overcast clouds
316,Ust-Nera,RU,64.5667,143.2,72.43,38,12,3.33,few clouds
317,Merritt Island,US,28.5392,-80.672,79.09,92,20,0.0,few clouds
318,Laguna,US,38.421,-121.4238,78.62,55,90,1.01,haze
319,Marawi,PH,7.9986,124.2928,81.64,88,95,4.21,light rain
320,Cambridge,CA,43.3601,-80.3127,69.78,87,75,4.61,broken clouds
321,Yuncheng,CN,35.0231,110.9928,94.8,31,4,17.56,clear sky
322,Dalby,AU,-27.1833,151.2667,65.1,50,0,11.41,clear sky
323,Iqaluit,CA,63.7506,-68.5145,40.73,87,90,4.61,light rain
324,Stoughton,US,42.1251,-71.1023,70.3,93,1,3.0,clear sky
325,Victoria,HK,22.2855,114.1577,89.58,82,100,1.99,light rain
326,Fairbanks,US,64.8378,-147.7164,65.1,86,90,0.0,overcast clouds
327,Sao Joao Da Barra,BR,-21.6403,-41.0511,65.5,80,98,4.92,overcast clouds
328,Mpika,ZM,-11.8343,31.4529,71.89,32,5,10.18,clear sky
329,The Valley,AI,18.217,-63.0578,82.26,73,0,16.11,clear sky
330,Lapi,PH,17.716,121.8978,94.66,52,93,3.94,overcast clouds
331,Carolina,PR,18.3808,-65.9574,81.1,90,20,4.61,few clouds
332,Kendari,ID,-3.945,122.4989,80.02,72,100,4.61,overcast clouds
333,Marsh Harbour,BS,26.5412,-77.0636,82.63,74,12,8.68,few clouds
334,Torbay,CA,47.6666,-52.7314,70.57,93,90,21.85,light intensity drizzle
335,Ridgecrest,US,35.6225,-117.6709,85.86,12,1,3.0,clear sky
336,Nakonde,ZM,-9.3421,32.745,73.27,36,0,8.97,clear sky
337,Pacific Grove,US,36.6177,-121.9166,65.8,92,90,4.0,overcast clouds
338,Buala,SB,-8.145,159.5921,80.35,73,99,3.18,overcast clouds
339,Walvis Bay,NA,-22.9575,14.5053,65.53,47,3,4.41,clear sky
340,Port Hedland,AU,-20.3167,118.5667,78.85,31,1,16.11,clear sky
341,Sembe,CG,1.6481,14.5806,71.67,94,100,5.86,light rain
342,Huarmey,PE,-10.0681,-78.1522,62.56,87,48,8.34,scattered clouds
343,Prestea,GH,5.4327,-2.1428,75.54,83,100,6.29,overcast clouds
344,Whitianga,NZ,-36.8333,175.7,53.02,76,2,13.6,clear sky
